"Mã số","Thuyết minh","Mục","2023 (VND)","2022 (VND - Đã điều chỉnh lại)"
"01","25","Doanh thu bán hàng và cung cấp dịch vụ","1,842,265,322,528","2,010,435,477,164"
"11","26","Giá vốn hàng bán","1,603,526,014,992","1,706,832,221,202"
"20","","Lợi nhuận gộp","238,739,307,536","303,603,255,962"
"21","27","Doanh thu hoạt động tài chính","35,399,283,250","39,689,481,210"
"22","28","Chi phí tài chính","38,330,194,778","25,604,656,124"
"23","","- Trong đó: Chi phí lãi vay","20,305,411,494","9,554,846,087"
"25","29","Chi phí bán hàng","54,871,896,752","73,606,164,461"
"26","30","Chi phí quản lý doanh nghiệp","61,445,947,989","74,029,920,445"
"30","","Lợi nhuận thuần từ hoạt động kinh doanh","119,490,551,267","170,051,996,142"
"31","31","Thu nhập khác","6,460,673,913","16,161,991,813"
"32","","Chi phí khác","4,789,152,426","5,959,197,731"
"40","","Lợi nhuận khác","1,671,521,487","10,202,794,082"
"50","","Tổng lợi nhuận kế toán trước thuế","121,162,072,754","180,254,790,224"
"51","33","Chi phí thuế TNDN hiện hành","20,008,328,222","41,913,956,899"
"52","33","Chi phí/(lợi ích) thuế TNDN hoãn lại","5,654,649,984","(6,955,245,206)"
"60","","Lợi nhuận sau thuế thu nhập doanh nghiệp","95,499,094,548","145,296,078,531"
"70","34","Lãi cơ bản trên cổ phiếu (VND)","4,222","6,246"
