"Mã số","Thuyết minh","Mục","2023 (VND)","2022 (VND - Đã điều chỉnh lại)"
"01","","Lợi nhuận trước thuế","121,162,072,754","180,254,790,224"
"02","","Khấu hao và phân bổ","65,257,277,958","56,119,718,122"
"03","","Các khoản dự phòng","(33,369,014,514)","39,023,259,179"
"04","","Lãi chênh lệch tỷ giá hối đoái do đánh giá lại","(86,691,694)","(3,552,036,551)"
"05","","Lãi từ hoạt động đầu tư","(11,005,911,756)","(10,121,924,195)"
"06","","Chi phí lãi vay","20,305,411,494","9,554,846,087"
"08","","Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động","162,263,144,242","271,278,652,866"
"09","","Biến động các khoản phải thu","(153,072,160,769)","(63,110,473,937)"
"10","","Biến động hàng tồn kho","160,383,761,943","(138,789,593,247)"
"11","","Biến động các khoản phải trả và nợ phải trả khác","(39,396,237,461)","(65,360,676,475)"
"12","","Biến động chi phí trả trước","4,317,538,812","(13,180,150,177)"
"14","","Tiền lãi vay đã trả","(19,961,849,585)","(17,702,080,695)"
"15","","Thuế thu nhập doanh nghiệp đã nộp","(20,309,043,953)","(40,926,874,339)"
"16","","Tiền thu khác từ hoạt động kinh doanh","12,220,000","212,820,000"
"17","","Tiền chi khác cho hoạt động kinh doanh","(6,837,611,000)","(2,577,170,000)"
"20","","Lưu chuyển tiền thuần từ hoạt động kinh doanh","87,399,762,229","(70,155,546,004)"
"21","","Tiền chi mua sắm, xây dựng tài sản cố định","(67,480,121,444)","(137,457,969,913)"
"22","","Tiền thu từ thanh lý, nhượng bán tài sản cố định","","1,306,275,173"
"23","","Tiền chi gửi tiền gửi có kỳ hạn","(66,000,000,000)","(43,500,000,000)"
"24","","Tiền thu hồi tiền gửi có kỳ hạn","5,000,000,000","33,500,000,000"
"25","","Tiền chi đầu tư góp vốn vào các đơn vị khác","(4,033,660,000)",""
"27","","Thu lãi tiền gửi và cổ tức được chia","10,659,515,960","8,302,590,711"
"30","","Lưu chuyển tiền thuần từ hoạt động đầu tư","(121,854,265,484)","(137,849,104,029)"
"33","","Tiền thu từ đi vay","1,022,651,301,962","926,663,664,268"
"34","","Tiền trả nợ gốc vay","(937,285,960,782)","(753,944,952,814)"
"36","","Tiền trả cổ tức","(60,920,522,358)","(15,764,992,790)"
"40","","Lưu chuyển tiền thuần từ hoạt động tài chính","24,444,818,822","156,953,718,664"
"50","","Lưu chuyển tiền thuần trong năm","(10,009,684,433)","(51,050,931,369)"
"60","","Tiền và các khoản tương đương tiền đầu năm","100,028,543,344","151,092,638,505"
"61","","Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ","(8,852,254)","(13,163,792)"
"70","","Tiền và các khoản tương đương tiền cuối năm","90,010,006,657","100,028,543,344"
